aphid,host_plant,garlic_ef,garlic,enemy,no_enemy,predator,parasite
14.85383114,38.8357232,present,1,predator,0,1,0
35.56872262,40.66006183,absent,0,predator,0,1,0
43.78271543,46.90774771,absent,0,no,1,0,0
2.1,35.21987534,present,1,parasite,0,0,1
36.69004259,50.85982566,absent,0,no,1,0,0
38.35882859,54.83776018,present,1,no,1,0,0
24.8328101,58.44295834,present,1,predator,0,1,0
25.22240857,61.79740417,present,1,parasite,0,0,1
20.81524489,61.71431007,absent,0,predator,0,1,0
20.15669221,26.19129133,absent,0,parasite,0,0,1
22.82226843,57.90141092,absent,0,parasite,0,0,1
17.51073082,51.84153469,present,1,parasite,0,0,1
20.89614721,44.60897336,present,1,predator,0,1,0
31.77328788,49.41568327,absent,0,parasite,0,0,1
41.74900606,80.05311853,present,1,no,1,0,0
29.05270495,59.41345147,present,1,parasite,0,0,1
27.75611268,44.81941661,present,1,no,1,0,0
18.90775723,55.31930331,present,1,parasite,0,0,1
18.07718093,59.25816436,present,1,predator,0,1,0
63.32145499,74.57125773,absent,0,no,1,0,0
35.48863823,22.95328476,absent,0,no,1,0,0
24.80331493,38.34003627,absent,0,parasite,0,0,1
23.23930581,53.39939341,absent,0,predator,0,1,0
35.79644613,80.67662525,absent,0,predator,0,1,0
23.48881234,31.5228301,present,1,no,1,0,0
13.55384722,32.20716439,present,1,predator,0,1,0
36.39816555,79.17676398,absent,0,parasite,0,0,1
18.56480817,7.44932458,present,1,no,1,0,0
32.3685121,37.32627095,absent,0,parasite,0,0,1
17.5743346,56.53789614,present,1,predator,0,1,0
46.1536243,91.35566024,absent,0,predator,0,1,0
26.01414662,33.7535475,absent,0,parasite,0,0,1
19.41866929,60.3789969,present,1,no,1,0,0
25.07221079,38.98040136,present,1,parasite,0,0,1
7.296350414,31.45735269,present,1,no,1,0,0
14.02006746,0,absent,0,no,1,0,0
2.633635592,43.88619635,present,1,predator,0,1,0
12.61103078,50.76915776,present,1,parasite,0,0,1
27.30735126,38.44687777,absent,0,no,1,0,0
26.40703781,29.41391245,absent,0,predator,0,1,0
50.39556653,66.42527586,absent,0,no,1,0,0
13.47737352,83.18881285,absent,0,predator,0,1,0
