Elevation,Grazing,BareSoil,Diversity
113,0.23,3.7,32
312,0.41,5.1,58
333,0.16,1.3,28
93,0.68,4.05,19
987,0.41,5,28
337,0.19,1.5,29
383,0.34,4.8,22
423,0.22,3.4,43
637,0.38,7.7,14
222,0.48,7.45,25
487,0.28,5.9,25
137,0.66,6.6,20
248,0.26,4,59
533,0.23,2.55,49
1017,0.18,4.8,63
487,0.28,5.9,25
308,0.38,4.9,57
503,0.43,5.4,10
508,0.25,4.85,35
533,0.23,2.55,49
128,NA,4.25,34
513,NA,4.85,55
513,NA,4.85,51
983,0.38,4.8,27
487,0.68,4.5,27
383,0.26,3.3,50
678,0.33,6,52
698,NA,1.7,54
97,0.71,4.25,20
517,0.32,5.05,52
697,0.29,6.9,57
127,0.24,3.95,47
733,0.45,4.5,43
247,0.58,8.25,17
1007,0.26,4.5,57
508,0.41,4.85,33
308,0.13,1.2,38
237,0.33,2.8,60
203,0.22,3.85,53
433,0.25,3.8,28
123,0.21,3.75,46
637,0.43,3.9,51
713,0.4,2.9,45
1258,0.3,3.5,40
508,0.25,5.3,46
283,0.36,6.2,30
783,0.3,3,30
513,0.35,4.85,55
583,0.37,3.7,54
763,0.43,3.8,43
783,0.45,6.1,49
153,0.75,5.25,15
508,0.21,4.1,49
243,0.5,8.2,13
233,0.3,2.6,59
217,0.65,7.9,18
133,0.63,6.4,19
507,0.46,5.6,11
512,0.28,5.05,36
247,0.43,7.5,27
337,0.46,4.5,40
508,0.25,5.3,46
517,0.38,5.05,56
523,0.38,5.7,39
268,0.5,6.85,3
272,0.53,7.05,4
583,0.37,3.7,54
703,0.37,3.9,56
693,0.26,6.7,56
423,0.22,3.4,43
697,0.29,6.9,57
483,0.65,4.3,26
673,0.39,5.1,25
708,0.25,6.05,40
787,0.48,6.3,50
248,0.35,3.3,73
767,0.46,4,44
108,0.33,1.2,24
193,0.31,3,28
308,0.38,4.9,57
268,0.5,6.85,3
512,0.24,5.8,57
127,0.52,4.4,38
222,0.48,7.75,35
423,0.25,4,39
712,0.28,6.25,41
233,0.25,2.9,52
383,0.34,4.8,22
683,0.36,3,51
737,0.48,4.7,44
218,0.45,7.55,34
678,0.33,6,52
117,NA,3.9,33
222,0.48,7.45,25
703,0.37,3.9,56
368,0.3,5.4,46
507,0.46,5.6,11
218,0.45,7.55,34
427,0.25,3.6,44
737,0.18,2.15,27
248,0.35,3.3,73
287,NA,6.4,31
272,0.53,7.05,4
512,0.24,5.8,57
233,0.31,4.3,61
682,0.36,6.2,53
437,0.51,4.9,25
243,0.16,2.1,37
587,0.41,4.6,48
512,0.44,5.05,34
783,0.45,6.1,49
297,0.39,9.4,41
387,0.37,5,23
583,0.38,4.4,47
787,0.48,6.3,50
368,0.3,5.4,46
777,0.27,5,55
402,0.37,7.4,NA
483,NA,4.3,26
153,0.75,5.25,15
677,0.42,5.3,26
197,0.7,6.35,13
483,0.25,5.7,24
437,0.53,5.9,41
157,0.78,5.45,16
227,0.48,6.4,20
1003,NA,4.3,56
213,0.62,7.7,17
687,0.32,2.2,53
NA,0.27,5,55
233,0.25,2.9,52
252,0.38,3.5,74
312,0.16,1.4,39
108,0.33,1.2,24
1262,0.33,3.7,NA
247,0.53,8.4,14
698,0.2,1.7,54
717,0.43,3.1,46
512,0.28,5.5,47
608,0.46,4.6,32
333,0.16,1.3,28
1003,0.34,4,22
243,0.55,8.05,16
987,0.41,5,28
193,0.67,6.15,12
1003,0.34,4,22
203,0.59,7.25,13
167,0.33,4.1,NA
787,0.33,3.2,31
763,NA,3.8,43
517,0.32,5.05,NA
733,0.15,1.95,26
633,0.35,7.5,13
243,0.5,8.2,13
203,0.59,7.25,13
247,0.19,2.3,38
458,0.58,4.85,33
483,0.46,4.2,53
623,0.35,3.6,51
193,0.67,6.15,12
512,0.28,5.5,47
233,0.3,2.6,59
713,0.4,2.9,45
612,0.49,4.8,33
123,0.49,4.2,37
487,0.49,4.4,54
132,0.52,4.45,35
297,0.39,9.4,41
508,0.25,4.85,35
783,0.3,3,30
387,0.29,3.5,51
123,0.21,3.75,46
683,0.36,3,51
917,0.53,4.5,40
223,0.45,6.2,19
287,0.39,6.4,31
834,0.37,4.1,37
1258,0.3,3.5,40
512,0.28,5.05,36
163,0.3,3.9,21
443,0.23,3.85,25
683,0.23,3.6,32
227,0.48,6.4,20
273,0.38,3.9,38
273,0.38,3.9,38
387,0.37,5,23
508,0.41,4.85,33
483,0.25,5.7,24
687,0.39,3.2,52
233,0.31,4.3,61
112,0.36,1.4,25
193,0.31,3,28
458,0.58,4.85,33
137,0.66,6.6,20
830,0.34,3.9,36
633,0.4,3.7,50
687,0.26,3.8,33
293,0.36,9.2,40
153,0.31,2.5,40
682,0.36,6.2,53
252,0.29,4.2,60
247,0.43,7.5,27
583,0.38,4.4,47
433,0.5,5.7,40
433,0.48,4.7,24
733,0.15,1.95,26
712,0.28,6.25,41
333,0.43,4.3,39
637,0.38,7.7,14
248,0.26,4,59
508,0.21,5.6,56
673,0.39,5.1,25
427,0.28,4.2,40
913,0.5,4.3,39
93,0.68,4.05,19
133,0.63,6.4,19
773,0.24,NA,54
437,0.28,4,29
443,0.23,3.85,25
223,0.45,6.2,19
333,0.43,4.3,39
608,0.46,4.6,32
983,0.38,4.8,27
218,0.45,7.25,24
1017,0.18,4.8,63
123,0.49,4.2,37
508,0.21,5.6,56
153,0.43,4.45,24
157,0.34,2.7,41
503,0.43,5.4,10
483,0.46,NA,53
627,0.38,3.8,52
153,0.43,4.45,24
537,0.26,2.75,50
213,0.62,7.7,17
402,0.37,7.4,19
623,0.35,3.6,51
587,0.4,3.9,55
247,0.58,8.25,17
512,0.44,5.05,34
398,0.34,7.2,18
913,0.5,4.3,39
157,0.46,4.65,25
207,0.62,7.45,14
508,0.21,4.1,49
277,0.41,4.1,39
1007,0.37,NA,23
237,0.28,3.1,53
293,0.36,9.2,40
517,0.38,5.05,56
523,0.38,5.7,39
147,0.32,4.6,22
113,0.23,3.7,32
312,0.41,5.1,58
283,0.36,6.2,NA
733,0.45,4.5,43
527,0.41,5.9,40
707,0.4,4.1,NA
197,0.7,6.35,13
207,0.62,7.45,14
683,0.23,3.6,32
163,0.3,3.9,21
207,0.25,4.05,54
513,NA,4.85,51
222,0.48,7.75,35
702,0.23,1.9,55
462,0.61,5.05,34
512,0.24,4.3,50
308,0.13,1.2,38
633,0.35,7.5,13
237,0.34,4.5,62
128,0.49,4.25,34
437,0.53,5.9,41
683,0.29,2,52
243,0.4,7.3,26
527,0.41,5.9,40
NA,0.4,7.3,26
773,0.24,4.8,54
217,0.65,7.9,18
NA,NA,3.7,NA
830,0.34,3.9,36
1003,0.23,4.3,56
1013,0.15,4.6,62
433,0.25,3.8,28
447,0.26,4.05,26
433,0.5,5.7,40
683,0.29,2,52
372,0.33,5.6,47
153,0.31,2.5,40
143,0.29,4.4,21
143,0.29,4.4,21
693,0.26,6.7,56
197,0.34,3.2,29
423,NA,4,39
708,0.25,6.05,40
1013,0.15,4.6,62
203,0.22,3.85,53
462,0.61,5.05,NA
243,0.55,8.05,16
437,0.51,4.9,25
383,0.26,3.3,50
433,0.48,4.7,24
372,0.33,5.6,47
677,0.42,5.3,26
218,0.45,7.25,24
247,0.53,8.4,14
243,0.16,2.1,37
398,0.34,7.2,18
