harv_biom,non_nat_sp,dead_wood,tree_gaps,predat,detritus,decomposition
0.568808855,0.54915498,0.587200783,0.220756091,no,0.305763459,0.292532928
0.411190449,0.451152043,0.453763853,0.408835345,yes,0.60515309,0.591204255
0.368698572,0.183747997,0.399102601,0.332445524,yes,0.561446024,0.65059701
0.775602005,0.72467751,0.802498484,0.510482416,no,0.359100899,0.477372449
0.289404508,0.391576273,0.377466457,0.314224544,no,0.490169504,0.574478868
0.368364973,0.421458158,0.391166293,0.350893653,no,0.542512109,0.704231115
0.51985086,0.555730878,0.470903405,0.352870855,no,0.421325454,0.532511129
0.562581473,0.322099344,0.591710635,0.619328461,no,0.635501797,0.523321343
0.522249353,0.514772326,0.446717402,0.473287853,yes,0.523837667,0.3963053
0.508839696,0.522165009,0.506125091,0.427484829,no,0.431628089,0.345486484
0.524236736,0.535624707,0.51398981,0.340188667,no,0.5167977,0.493274957
0.480893541,0.434440671,0.454591299,0.368967624,no,0.308261379,0.219438003
0.448053714,0.461618871,0.48556648,0.487939128,no,0.497382994,0.321655486
0.440744389,0.342904348,0.468187131,0.211171136,yes,0.465529874,0.408682731
0.22411306,0.246978181,0.235010663,0.177730305,no,0.431054336,0.439148345
0.474852815,0.553813585,0.390500304,0.419388872,no,0.555281165,0.605779544
0.443534047,0.579370361,0.419537067,0.304820898,no,0.566300597,0.30513875
0.503789912,0.462164488,0.50300684,0.42834563,no,0.419770607,0.293452029
0.486343368,0.478953535,0.531832854,0.533915997,no,0.436636426,0.452403633
0.192747584,0.141836834,0.186056802,0.259424765,yes,0.776504682,0.739027515
0.511582972,0.327376475,0.488133982,0.379481012,no,0.567808688,0.644148195
0.522160904,0.323698082,0.53226122,0.42361949,yes,0.453227273,0.399284613
0.482325766,0.56260563,0.517208902,0.447372729,no,0.582284246,0.534481236
0.331194946,0.539493489,0.366197475,0.186999399,yes,0.529806496,0.501509118
0.528450587,0.543496833,0.533916838,0.438110086,no,0.430786759,0.5911541
0.537408582,0.748008244,0.518536165,0.493333065,no,0.377246894,0.370422904
0.372411095,0.488530411,0.322780253,0.522811476,no,0.609278823,0.742089113
0.541982267,0.517712549,0.597482037,0.43265189,no,0.444886408,0.432059337
0.548737887,0.484173624,0.578604249,0.302769579,no,0.618056124,0.673980035
0.51779043,0.469956097,0.604427818,0.41049289,no,0.366959124,0.438067088
0.215384308,0.51658408,0.202519185,0.301115612,yes,0.60068938,0.577525006
0.447724703,0.629743554,0.410752331,0.406426532,no,0.470468235,0.487838854
0.584674932,0.643063998,0.568858721,0.589524165,no,0.567641737,0.674234132
0.531491806,0.532935057,0.471690948,0.516607182,no,0.572171757,0.523432078
0.529644357,0.681671559,0.500013077,0.233519099,no,0.230875119,0.190460104
0.472548929,0.473027967,0.493895636,0.391964624,no,0.248309984,0.238424606
0.733153527,0.733027374,0.666806461,0.580912949,no,0.388422738,0.425488933
